Review,Subjectivity,Polarity,Analysis,Sentiment
staff really friendly food also tasted quite good come big portion value money,0.4000000000000001,0.35833333333333334,Positive,1
ordered lamb chop dinner insanely good meat tender really savoury worth die mention portion generous would totally come,0.4125,0.3,Positive,1
short absolutely loved place probably best western food price range outside europe ever,0.29000000000000004,0.33999999999999997,Positive,1
hard concur positive remark posted prior mine exception deservedly earned,0.3623737373737373,-0.021464646464646474,Negative,0
stopped dinner pleasantly surprised service excellent meal arrived time portion generous food delicious shared dessert bread butter pudding yum,0.9666666666666667,0.7000000000000001,Positive,1
various choice great taste western food choose need introduction chef recomendation choice dissapointed,0.4166666666666667,0.26666666666666666,Positive,1
nice caf restaurant food great good portion good service recommend vividly,0.74,0.585,Positive,1
looking healthy choice western food give visit oliva cafe price range main course rm19 le rm50 worth try,0.2333333333333333,0.24166666666666664,Positive,1
last bite smoked salmon bruschetta steak arrived stop post opinion best restaurant terengganu settled,0.18333333333333332,0.5,Positive,1
went celebrate birthday friend ate fish chip food quite delicious staff also friendlly come early get seat restaurant people favourite,0.65,0.55,Positive,1
looking place vegetarian dinner terengganu easy undertaking followed recommendation tripadvisor ended oliva cafe place equally popular local hardly empty table although menu offer obvious vegetarian dish many dish done without meat fish seafood mention vegetarian friendly helpful service staff provide plenty suggestion choice food fresh delicious portion sizeable enjoyed excellent vegetarian meal,0.6303030303030304,0.4189393939393939,Positive,1
really difficult find decent western food terengganu reason oliva like oasis western food desert salad try smoked duck version starter digging generous serving main course disappointed unless super fussy us lot local product instead without compromising taste effect love,0.4462962962962963,-0.009259259259259276,Negative,0
initial expression saw place little surprised casual set picnic table bench rather cosy actually little warm ceiling wall fan much coming food ordered lamb chop fish chip chicken burger chicken parmigiana everything tasty portion satisfying dessert great would personally recommend pecan tart served vanilla ice cream bread butter pudding good apple crumble however lemon tart standard lacked lemony custard taste overall good experience staff efficient washroom pleasant though,0.5696078431372549,0.13284313725490193,Positive,1
based recommendation friend personally bit disappointed food main course order expectation tasteless perhaps aim cater western tourist maybe make wrong choice everyone keep giving excellent rate cafe perhaps come try another meal however apple crumble drink nice good try service also superb provide free infused drink,0.6893939393939393,0.18333333333333332,Positive,1
serving considerably best western food kuala terengganu steak dessert worth trying,0.13333333333333333,0.43333333333333335,Positive,1
restaurant probably best whole terengganu lol food great staff warm friendly environment chilled ate 5 time bringing friend along time fall love place restaurant must try great place foreign folk hang around eat,0.5249999999999999,0.55,Positive,1
difficult find good western food kt finally found olive cafe great burger great trendy modern place highly recommended,0.6488888888888888,0.3066666666666667,Positive,1
visit friend ambiance great service fast polite drink great food presentation awesome taste ok would come try thing,0.72,0.6599999999999999,Positive,1
awesome service really friendly food delicious definitely try lemon tart dessert,0.75,0.59375,Positive,1
several time tried year really delicious western food even drink superb taste friendly staff really like taste food drink,0.45,0.4291666666666667,Positive,1
food brilliant went charcoal bun beef burger place high end pub restaurant back england great service simplified menu enough choice visiting would recommend checking instagram show video prepare food end product case little unsure visiting number 1,0.5483333333333333,0.27875,Positive,1
never bad meal joe 10 10 got try half time chicken satisfied price amazingly soft class food tonight steak,0.6266666666666667,0.03666666666666665,Positive,1
average type food restaurant kt place awesome dish favorite sweet potato fry duck salad apple crisp desert kid totally loved blended chocolate drink,0.7111111111111111,0.4416666666666667,Positive,1
best local laksa white colour best local steam keropok lekor helpful polite chinese girl charge cashier highly recommended,0.16285714285714284,0.3085714285714286,Positive,1
food good ordered kopi coffee bit cold filtered staff polite professional,0.5666666666666668,0.06666666666666667,Positive,1
food range fried rice porridge noodle nasi lemak snack drink variety okay price good air cond place wifi staff polite fly inside restaurant rather disturbing perhaps management find way improve otherwise still visit good food price also parking available front shop opposite,0.5428571428571428,0.37142857142857144,Positive,1
another kopitiam mostly old food nothing surprise good thing strategically located corner lot quite number parking bay near,0.4000000000000001,0.3,Positive,1
restaurant many time stay merang lot dish good price staff extremely kind professional front beergarden drikn beer,0.525,0.475,Positive,1
love environment food friendly staff smiling face good service fast service pricing quite reasonable quality menu,0.5800000000000001,0.39499999999999996,Positive,1
variety food drink choose menu like warm hospitality waiter waitress tho likely good time air conditioned restaurant one favourite,0.7333333333333334,0.4333333333333333,Positive,1
good food reasonable midrange price need improve overall cleanliness food handling hygiene kuey teow soup got plastic piece staff hand wash handling food prepare drink cleaning table handling garbage,0.4000000000000001,0.3,Positive,1
restaurant friend also name chua hahahaha food bad really enjoy white tomyam sup really nice,0.5333333333333333,0.10000000000000005,Positive,1
one restaurant open lunch hour fasting moon food quite ok acceptable price,0.5,0.25,Positive,1
lot variety choose local malaysian western food nothing special suggest price also reasonable,0.2928571428571428,0.1392857142857143,Positive,1
atmosphere restaurant okay quite number table occupied family ordered western well thai style food found food delicious pataya fried rice ordered bit flat need improvement however abc ice kacang win praise price wise little bit high service okay,0.4961111111111111,0.38305555555555565,Positive,1
sure local food western food definitely need improvement expecting much since kt many westerner say food ordered subpar ordered fruit juice take two sip awful fake sweetener water ice,0.5111111111111111,-0.037500000000000006,Negative,0
love food atmosphere superb restaurant bring family friend price affordable,0.8,0.75,Positive,1
good ambiance food little pricey two joint one went would recommend one near le 500m grand continental hotel kuala terengganu,0.625,0.27812499999999996,Positive,1
came lunch husband love kopitiam fusion nyonya malay food ordered bubur ayam kue tiaw goreng spagetti chicken ball snow ice price also ok nice ambiance toilet clean,0.625,0.22222222222222224,Positive,1
inside outer seating good menu offering local western dish atmosphere welcoming,0.20000000000000004,0.2333333333333333,Positive,1
cook food like rubbish menu satisfied please come waste time money foreigner work chef local,0.3333333333333333,0.09999999999999999,Positive,1
serve delectable food fresh air variety menu ordered local western food nice caf,0.375,0.22499999999999998,Positive,1
tasted better butter chicken fried rice elsewhere may cooked one foreign worker nothing wrong properly never show cook,0.515,-0.145,Negative,0
looking nice cosy place eat uncle chua signature place food choice variety nice service good price mid range,0.65,0.475,Positive,1
looked place dinner found uncle chua close hotel place clean could see fly sitting table wanted leave getting late decided stay placed order per menu served much expectation picture menu misleading looked attractive disappointment left restaurant dropped 7 eleven get snack still hungry,0.5428571428571429,0.18095238095238095,Positive,1
late didnt know go decided drop place along block ming star hotel concept something like old town kopitiam definitely standard yet worker mostly foreigner werent friendly ordered fried rice butter chicken black pepper chicken chop fried rice kangkong belacan portion quite big wasnt tasty butter chicken tasted like used lot flour sauce belacan tasted like belacan mixed oyster sauce really salty,0.4694444444444445,-0.09097222222222222,Negative,0
tasted better butter chicken fried rice elsewhere may cooked one foreign worker nothing wrong properly never show cook,0.515,-0.145,Negative,0
hipster menu fusion menu menu acceptance affordable price good ambiance spacious suit private party held,0.48750000000000004,0.35,Positive,1
