Review,Subjectivity,Polarity,Analysis,Sentiment
Wow Loved this place,0.9,0.39999999999999997,Positive,1
Not tasty and the texture was just nasty,1.0,-1.0,Negative,0
The selection on the menu was great and so were the prices,0.75,0.8,Positive,1
Honeslty it didn't taste THAT fresh,0.5,0.3,Positive,1
The fries were great too,0.75,0.8,Positive,1
A great touch,0.75,0.8,Positive,1
Service was very prompt,0.3,0.2,Positive,1
Would not go back,0.0,0.0,Positive,1
"I tried the nasi dagang, chicken, with cranberry mmmm!",0.95,-0.75,Negative,0
Highly recommended,0.5399999999999999,0.16,Positive,1
Waitress was a little slow in service,0.44999999999999996,-0.24375000000000002,Negative,0
nasi dagang so nice at terengganu!	,1.0,0.75,Positive,1
"The food, amazing",0.9,0.6000000000000001,Positive,1
I could care less The interior is just beautiful,0.5333333333333333,0.3416666666666667,Positive,1
That's right the red velvet cake ohhh this stuff is so good,0.37857142857142856,0.32857142857142857,Positive,1
The place beautiful and service is nice. The food so good,0.8666666666666667,0.7166666666666667,Positive,1
"This hole in the wall has great Terengganu street dessert, and friendly staff",0.625,0.5875,Positive,1
"Overall, I like this place a lot",0.0,0.0,Positive,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table",0.8,-0.6,Negative,0
Service sucks,0.3,-0.3,Negative,0
The shrimp tender and moist,0.0,0.0,Positive,1
"On a positive note, our server was very attentive and provided great service",0.7651515151515151,0.5157575757575757,Positive,1
It's too bad the food is so damn generic,0.3333333333333333,-0.3499999999999999,Negative,0
"The burger is good beef, cooked just right",0.5678571428571428,0.4928571428571428,Positive,1
The portion was huge!,0.9,0.5000000000000001,Positive,1
"Loved it friendly servers, great food, wonderful and imaginative menu",0.75,0.6950000000000001,Positive,1
This place receives stars for their APPETIZERS!!!,0.0,0.0,Positive,1
The cocktails are all handmade and delicious,1.0,1.0,Positive,1
We'd definitely go back here again,0.0,0.0,Positive,1
We are so glad we found this place,1.0,0.5,Positive,1
Update went back for a second time and it was still just as amazing,0.3,0.20000000000000004,Positive,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy,0.35,0.05,Positive,1
A great way to finish a great,0.75,0.8,Positive,1
The service was meh,0.0,0.0,Positive,1
The scallop dish is quite appalling for value as well,0.9,-0.35,Negative,0
Today is the second time I've been to their lunch buffet and it was pretty good,0.5333333333333333,0.31666666666666665,Positive,1
There is so much good food in TERENGGANU that I feel cheated for wasting an eating opportunity by going to Rice and Company,0.6000000000000001,0.7,Positive,1
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up,0.375,-0.125,Negative,0
walked in and the place smelled like an old grease trap and only 2 others there eating,0.6,0.05,Positive,1
This place has it!,0.0,0.0,Positive,1
The poor batter to meat ratio made the chicken tenders very unsatisfying,0.6166666666666666,-0.26666666666666666,Negative,0
All I have to say is the food was amazing!!!,0.9,1.0,Positive,1
Everything was fresh and delicious!,0.75,0.65,Positive,1
The service was meh,0.0,0.0,Positive,1
The scallop dish is quite appalling for value as well,0.9,-0.35,Negative,0
Today is the second time I've been to their lunch buffet and it was pretty good,0.5333333333333333,0.31666666666666665,Positive,1
